page_number,original_length,failure_message,original_preview,translation_time
2,5454,[TOC Translation Failed],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 2 -页 
 
- 2 - 
 目 录 
1. 术语定义 ................................ ................................ ................................ ................................ ........",2.2
3,4133,[TOC Translation Failed],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 3 -页 
 
- 3 - 
 3.4.3.6.  陡坡缓降（ HDC）要求  ................................ ................................ ...............................  - 17 - 
3.4.3.6.1.  功能要求  ....",1.09
5,1122,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 5 -页 
 
- 5 - 
 前言 
 本ATS（全地形 /驾驶模式控制系统）开发 技术描述 文档是对技术合作方 提出相关软件 开发、开发过程测试
及性能开发的 技术要求。 该文件需配合 项目相关《技术开发协议》、《全地形控制系统对 IBC的需求规范》 文
件使用；  
技术合作方 有责任遵守《全地形控制系统对 IBC的需求规范》文件",3.59
9,1072,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 9 -页 
 
- 9 - 
 表3  ATS_IBC 功能矩阵表  
系统  功能  雪地（草地 /沙
砾…） 泥地 /车辙  沙地  山地  涉水  AU
TO 
IBC ABS  1、独立控制参数；  
2、达到无 ABS制动
效果的 90%以上  1、独立控制参数；  
2、达到无 ABS制动
效果的 90%以上  1、独立控制",5.13
10,886,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 10 -页 
 
- 10 - 
 ESC 
OFF 默认 ON， 
可手动关闭 OFF 默认 ON， 
可手动关闭 OFF 默认 ON， 
可手动关闭 OFF 默认 ON， 
可手动关闭 OFF 默认 ON， 
可手动关闭 OFF 
 越野
单踏
板 默认关闭，  
需手动开启  默认关闭，  
需手动开启  默认关闭，  
需手动开",3.36
11,1347,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 11 -页 
 
- 11 - 
 1) ATS（包含 AUTO识别的 ATS模式）模式下，IBC需压制原地脱困的 单轮打滑 的故障监控机制 （车速
小于 20kph）和三个车轮打滑的故障监控机制 ，避免原地脱困轮速故障引起的 IBC频繁降级；  
2) 针对 IMU信号监控， ATS模式下监控 IMU信号，降低敏感度避免频繁上报系统降",7.01
13,1406,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 13 -页 
 
- 13 - 
 a.在制动时 ，若当前实际车速 ≥当前目标工作车速 ，则目标工作车速保持不变 ； 
b.在制动时，若最低工作车速＜当前实际车速＜当前目标工作车速，则目标车速挡位设置在低于且最靠近实
际车速的挡位， IBC实时向仪表发送蠕行目标车速；  
c.在制动时 ，若当前实际车速 ≤最低工作车速 ＜当前目标工作车",5.96
16,840,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 16 -页 
 
- 16 - 
 且EPB释放；  
且驾驶员车门关闭；  
且(-45°下坡 ≤ IBC_Slope ≤＋45°上坡 )，可标  
且ACU_LongitudinalAcceleration ≤3m/s2，可标  
且 ACU_LateralAccelaration ≤3m/s2，可标  
此时按下 ACC调速开关的",3.93
17,1203,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 17 -页 
 
- 17 - 
 或非全地形模式 （IBC内部目标模式 IBC_ModeStReq ≠4：雪地 or5：泥地 or6：沙地 or7：山地 or8：涉水） 
此时蠕行功能退出 ，发送信号 IBC_DispMessageReq ：0x4= “越野巡航功能退出 ”。 
再次进入需按进入条件重新操作功能开关。  
功能降级  ",6.38
19,1305,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 19 -页 
 
- 19 - 
 过2kph； 
目标车速的设定：  
若HDC激活时实际车速＜默认目标车速，激活后以默认车速作为 HDC的目标车速；   
若HDC激活时实际车速 ＞默认目标车速 ，激活后以当前实际车速作为 HDC的目标车速 ；同时可通过方向
盘上 “set +”、“set-”按键来增加和降低目标车速值 （最小值为 ",3.97
20,1228,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 20 -页 
 
- 20 - 
 2) 当IBC_CreepSt=0x0 ，0x1，仍可激活 HDC；当 IBC_CreepSt==0x2 ，禁用 HDC； 
3) 当车辆下坡，蠕行激活时 IBC_CreepSt=0x2 ： On active Creeping ，打开HDC开关处于待命状态
IBC_hdcSts=0x1 ： On n",5.75
23,623,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 23 -页 
 
- 23 - 
 条件：  
按下 A VH功能关闭开关或  
车辆下电或  
驾驶员侧打开车门或  
驾驶员安全带未系或  
档位在 P档或  
A VH功能故障  
4）Standby —>Active  
条件：  
EPB 处于释放状态  且 
车辆静止且  
P2_DAP ≥目标保压压力 P_tag  bar",5.84
24,1089,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 24 -页 
 
- 24 - 
 不会擦掉水层。当需要在这种情况下施加制动时，可能会发生制动响应延迟、制动距离变长的情况。  在涉水完
成后，可以使用较小的压力将制动片推出来擦拭制动盘上的水渍  
功能要求  
1) 涉水 BDW功能需关联实际驾驶模式，当前模式处于雪地、沙地、 山地、泥地、涉水模式
IBC_ModeStAct=0x4",5.21
25,1113,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 25 -页 
 
- 25 - 
 制动盘温度 ≥400℃（TBD）；  
AX≥2m/s2 （TBD）；  
AY≥1.5 m/s2（TBD）；  
制动踏板踩下；  
其它高优先级功能激活（ ABS/ESC 等）。  
ATS实际模式状态由 8：其他值（非 Reserved 值） →涉水；  
车速 ≥80kph（TBD）；  
B",5.3
26,1037,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 26 -页 
 
- 26 - 
 信号接口  
① 接收信号要求 ：TBD 
 
② 发送信号要求 : TBD 
 
3.4.3.13.  车辆稳定控制系统（ VDC）要求  
1) 每种地形模式一套标定参数 ，VDC需根据 IBC内部目标模式 IBC_ModeStReq 调用对应的参数；  
2) VDC满足条件均可激活， ATS模",5.21
27,1035,[Translation failed after 2 attempts],"ATS（全地形解决方案）开发及评价技术描述  共24页 第- 27 -页 
 
- 27 - 
 3.4.3.14.  防抱死系统（ ABS）要求  
1) 每种地形模式一套标定参数， ABS需根据 IBC内部目标模式 IBC_ModeStReq 调用对应的参数；  
2) IBC内部与 ATS模式相关的 ABS参数状态需实时响应 ATS目标模式请求，不允许出现请求与参数不对应
的情况；  
3)",4.13
